INSTNM,CITY,STABBR,ZIP,COSTT4_A
Aviation Institute of Maintenance-Las Vegas,Las Vegas,NV,89119,28488
UEI College-Bakersfield,Bakersfield,CA,93308-0000,NULL
National American University-Lewisville,Lewisville,TX,75067-8193,22914
National American University-Georgetown,Georgetown,TX,78628-5355,NULL
National American University-Richardson,Richardson,TX,75080-5400,NULL
National American University-Rochester,Rochester,MN,55901-4001,NULL
National American University-Wichita West,Wichita,KS,67212-2976,NULL
National American University-Indianapolis,Indianapolis,IN,46268-3167,NULL
DeVry College of New York,New York,NY,10016,37061
DeVry University-Arizona,Phoenix,AZ,85021,34639
DeVry University-California,Pomona,CA,91768,33323
DeVry University-Colorado,Westminster,CO,80234,36017
DeVry University-Florida,Miramar,FL,33027,33565
DeVry University-Georgia,Decatur,GA,30030,33896
DeVry University-Illinois,Chicago,IL,60618,35766
DeVry University-Indiana,Merrillville,IN,46410,26624
DeVry University-Missouri,Kansas City,MO,64131,32078
DeVry University-Nevada,Henderson,NV,89074,39148
DeVry University-New Jersey,North Brunswick,NJ,8902,30609
DeVry University-North Carolina,Charlotte,NC,28273,33896
DeVry University-Ohio,Columbus,OH,43209,33771
DeVry University-Oklahoma,Oklahoma City,OK,73116,NULL
DeVry University-Pennsylvania,Ft. Washington,PA,19034,30799
DeVry University-Tennessee,Nashville,TN,37211,NULL
DeVry University-Texas,Irving,TX,75063,37532
DeVry University-Virginia,Arlington,VA,22202,39148
University of North Georgia,Dahlonega,GA,30597,15405
South Georgia State College,Douglas,GA,31533,14347
Northeastern University Lifelong Learning Network,Boston,MA,2115,NULL
McCann School of Business & Technology,Wilkes-Barre,PA,18702,25116
Florida Polytechnic University,Lakeland,FL,33805-8531,NULL
American Institute-Toms River,Toms River,NJ,8755,NULL
The Healthcare Institute,San Antonio,TX,78201-5035,NULL
Alamo City Barber College,San Antonio,TX,78250-3227,NULL
Arizona College-Mesa,Mesa,AZ,85201,32351
American College of Healthcare and Technology,Huntington Park,CA,90255,NULL
Antioch College,Yellow Springs,OH,45387,51661
Texas A & M University-Central Texas,Killeen,TX,76549,NULL
Central Georgia Technical College,Warner Robins,GA,31088,9112
Barber School of Pittsburgh,Pittsburgh,PA,15220,NULL
Innovate Salon Academy,South Plainfield,NJ,7080,NULL
Arizona State University-Skysong,Scottsdale,AZ,85257,21570
Louisiana Delta Community College,Monroe,LA,71203,13034
The Fab School,Rancho Cucamonga,CA,91730,NULL
Networks Barber College,Calumet City,IL,60409,NULL
JB's Hair Design and Barber College,Oklahoma City,OK,73139,NULL
Virginia College-Lubbock,Lubbock,TX,79414,NULL
Paul Mitchell the School-Lombard,Lombard,IL,60148,NULL
Paul Mitchell the School-Greenville,Greenville,SC,29607,NULL
Divine Crown Barber & Beauty Academy,Harrisburg,PA,17110,NULL
Delta College of Arts & Technology-Lafayette Campus,Lafayette,LA,70508,NULL
Delta College-Slidell Campus,Slidell,LA,70460-2624,NULL
Integrity College of Health,Pasadena,CA,91104,NULL
Electrical Training Center,Copiague,NY,11726,NULL
Alexander Paul Institute of Hair Design,Greenville,NC,27858-3344,NULL
California Technical Academy,Riverside,CA,92507,NULL
More Tech Institute,Hialeah,FL,33012,NULL
Dorsey Business Schools-Dearborn,Detroit,MI,48228,30087
NeeCee's College of Cosmetology,Abilene,TX,79605,NULL
Bella Cosmetology College,Winnsboro,TX,75494,NULL
Franklin Hair Academy School of Cosmetology,Franklin,TN,37064-2126,NULL
Universidad Ana G. Mendez-Online Campus,San Juan,PR,926,NULL
Sutter Beauty College,Yuba City,CA,95991,NULL
New Horizons Medical Institute,Norcross,GA,30071,NULL
Ohio Institute of Allied Health,Huber Heights,OH,45424-3646,26187
Paul Mitchell the School-Ardmore,Ardmore,OK,73401-3912,NULL
Access Careers,Hempstead,NY,11550-0000,NULL
River Valley Cosmetology Institute,Poteau,OK,74953-5260,NULL
Luckes Beauty Academy LLC,Newport  News,VA,23601-1303,NULL
Total Transformation Institute of Cosmetology,San Marcos,TX,78666-8115,NULL
Vibe Barber College,Memphis,TN,38107-2538,NULL
Champ's Barber School,Lancaster,PA,17602-3809,NULL
IGlobal University,Vienna,VA,22182-2734,NULL
East-West Healing Arts Institute,Madison,WI,53719-1133,NULL
National Personal Training Institute,Vienna,VA,22182-2412,NULL
Standard Healthcare Services-College of Nursing,Falls Church,VA,22043,NULL
Philadelphia Technician Training,Philadelphia,PA,19138-1324,NULL
Grace International Beauty School,Flushing,NY,11355-2446,NULL
Alliance Computing Solutions,Flushing,NY,11354-6507,NULL
InterAmerican Technical Institute,Miami,FL,33174-2950,24350
Bay Area Medical Academy,San Francisco,CA,94108-3623,NULL
Mind Body Institute,Nashville,TN,37214-1012,NULL
Parisian Spa Institute,Jacksonville,FL,32204-4127,NULL
Creative Touch Cosmetology School,Waterloo,IL,62298-1609,NULL
LaBarberia Institute of Hair,Mayfield Hts,OH,44124,NULL
Setting the Standard Barbering and Natural Hair Academy,Shreveport,LA,71109-4124,NULL
Bos-Man's Barber College,Shreveport,LA,71108,NULL
Lawrence & Company College of Cosmetology,Selma,CA,93662-3509,NULL
Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,NULL
High Desert Medical College,Lancaster,CA,93534-1134,NULL
Paul Mitchell the School-Schenectady,Schenectady,NY,12305-2303,NULL
Beyond Measure Barbering Institute,Mebane,NC,27302-2323,NULL
Beauty Anatomy Institute of Cosmetology and Wellness,Pompano Beach,FL,33062-1000,NULL
Barber Institute of Texas,Longview,TX,75602-3456,NULL
Jupiter Beauty Academy,Boston,MA,02122-2834,NULL
MedQuest College,Louisville,KY,40223-1882,NULL
First Coast Barber Academy,Jacksonville,FL,32202,NULL
Debutantes School of Cosmetology and Nail Technology,Dekalb,IL,60115-3301,NULL
Paul Mitchell The School-Farmington Hills,Farmington Hills,MI,48334-1300,NULL
Paul Mitchell the School-Merrillville,Merrillville,IN,46410-5540,NULL
Paul Mitchell the School-Lansing,Lansing,MI,48912-4686,NULL
Ricci's Academy of Cosmetology,Newtown,CT,06470-0000,NULL
Yahweh Beauty Academy,Killeen,TX,76543-4153,NULL
Preparing People Barber Styling College,Dallas,TX,75215-2415,NULL
Arizona School of Integrative Studies,Tucson,AZ,85705,NULL
Lee Professional Institute,Fort Myers,FL,33916-9320,NULL
Park Place Premier Barber School,New Orleans,LA,70122-3808,NULL
The Salon Professional Academy-San Jose,San Jose,CA,95129-5101,NULL
Tri-Community Adult Education,Covina,CA,91722-3925,NULL
Montessori Education Institute of the Pacific Northwest,Bothell,WA,98011-8005,NULL
Jolie Health and Beauty Academy-Turnersville,Turnersville,NJ,08012-1760,NULL
Ross Medical Education Center-Owensboro,Owensboro,KY,42303-7757,NULL
Ross Medical Education Center-Evansville,Evansville,IN,47715-2405,NULL
Ross Medical Education Center-Johnson City,Johnson City,TN,37601-1526,NULL
North-West College-Santa Ana,Santa Ana,CA,92705-8680,NULL
North-West College-Long Beach,Long Beach,CA,90815-1770,NULL
Branford Hall Career Institute-Amityville,Amityville,NY,11701-2244,NULL
Taylor Andrews Academy of Hair Design-Orem,Orem,UT,84058-1872,NULL
University of Florida-Online,Gainesville,FL,32611,16735
Ogle School Hair Skin Nails-Stafford,Stafford,TX,77477,NULL
University of Phoenix-Arizona,Tempe,AZ,85282,20083
University of Phoenix-Arkansas,Little Rock,AR,72211,NULL
University of Phoenix-California,Ontario,CA,91761,20133
University of Phoenix-Colorado,Lone Tree,CO,80124,18250
University of Phoenix-Florida,Orlando,FL,32819,20940
University of Phoenix-Georgia,Atlanta,GA,30328,20940
University of Phoenix-Louisiana,Baton Rouge,LA,70808,NULL
University of Phoenix-Michigan,Southfield,MI,48076,NULL
University of Phoenix-Missouri,Saint Louis,MO,63043,NULL
University of Phoenix-Nevada,Las Vegas,NV,89135,20940
University of Phoenix-North Carolina,Charlotte,NC,28273,20940
University of Phoenix-Oklahoma,Tulsa,OK,74134-1412,NULL
University of Phoenix-Tennessee,Nashville,TN,37214,NULL
University of Phoenix-Texas,Houston,TX,77079,20251
University of Phoenix-Virginia,Glen Allen,VA,23060,20940
University of Phoenix-Pennsylvania,Philadelphia,PA,19103,19147
Tint School of Makeup & Cosmetology-Seattle,Seattle,WA,98101-1596,NULL
CEM College-Mayaguez,Mayaguez,PR,00680-0000,12032
Rabbinical College Ohr Yisroel,Brooklyn,NY,11236,12915
Aveda Institute-Phoenix,Tempe,AZ,85284,NULL
University of North Texas at Dallas,Dallas,TX,75241,14944
Dermal Science International Aesthetics and Nail Academy,Reston,VA,20190,NULL
BridgeValley Community & Technical College,South  Charleston,WV,25136,11989
Northwest College-Medford,Medford,OR,97504-9998,NULL
Virginia College-Fort Pierce,Fort Pierce,FL,34982-6331,NULL
Houston Training Schools-Gessner,Houston,TX,77063-0000,NULL
Empire Beauty School-Buffalo,Cheektowaga,NY,14225-5177,NULL
Paul Mitchell the School-Toledo,Sylvania,OH,43560-2539,NULL
Georgia Military College,Milledgeville,GA,31061,11758
New Horizons Medical Institute-Winder,Winder,GA,30680-2130,NULL
SAE Institute of Technology-Chicago,Chicago,IL,60610-3132,NULL
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,Portland,OR,97232-1315,NULL
Fountain of Youth Academy of Cosmetology,Mars,PA,16046,NULL
California College San Diego,San Diego,CA,92111,32211
West Coast University-Miami,Doral,FL,33178-2431,33298
National American University-Houston,Houston,TX,77079-1985,NULL
National American University-Harold D. Buckingham Graduate School,Austin,TX,78731-3151,NULL
All Beauty College,Kingman,AZ,86409-2561,NULL
Aparicio-Levy Technical College,Tampa,FL,33610,NULL
Fred D. Learey Technical College,Tampa,FL,33610,NULL
The Vocational Nursing Institute Inc,Houston,TX,77065,NULL
Hollywood Institute of Beauty Careers-West Palm Beach,West Palm Beach,FL,33405-4813,NULL
Hollywood Institute of Beauty Careers-Casselberry,Casselberry,FL,32707-7103,NULL
Empire Beauty School-Cheltenham,Wyncote,PA,19095,NULL
High Tech High Graduate School of Education,San Diego,CA,92106,NULL
Coachella Valley Beauty College-Hemet,Hemet,CA,92545,NULL
Dewey University-Mayaguez,Mayaguez,PR,00682-0000,9473
Coastal Pines Technical College,Waycross,GA,31503,15351
Studio Beauty School,Spokane Valley,WA,99206,NULL
Latin Beauty Academy,Greenacres,FL,33415-6104,NULL
Associated Barber College of San Diego,San Diego,CA,92101-4210,NULL
ABCO Technology,Inglewood,CA,90304-1551,NULL
International Sports Sciences Association,Carpinteria,CA,93013-2912,NULL
International Hair and Barber Academy,Boca Raton,FL,33433-3443,NULL
University of Texas Health Science Center at Tyler,Tyler,TX,75708-3154,NULL
California Intercontinental University,Irvine,CA,92614-5636,16154
Infinity College,Lafayette,LA,70501-8833,NULL
Universal Healthcare Careers College,Los Angeles,CA,90015-3811,NULL
MKG Beauty & Business,Cranston,RI,02920-4358,NULL
New Beginnings Beauty Academy,Pine Bluff,AR,71601-5257,NULL
Dolce LLC The Academy,Waterbury,CT,06705-2685,NULL
River Valley School of Massage,Russellville,AR,72802,NULL
The Beauty School,Mountain Home,AR,72653,NULL
Atlantis University,Miami,FL,33132,16511
Westchester School for Dental Assistant,Elmsford,NY,10523,NULL
K & G 5 Star Barber College,League City,TX,77573,NULL
Studio Incamminati,Philadelphia,PA,19107-1105,NULL
Salon Boutique Academy,Addison,TX,75001-4399,NULL
The Recording Conservatory of Austin,Austin,TX,78730-3004,NULL
VH Barber & Styling Academy,Bossier City,LA,71111-4409,NULL
Bet Medrash Gadol Ateret Torah,Brooklyn,NY,11223-1933,15000
Yeshiva Gedola Ohr Yisrael,Brooklyn,NY,11229,NULL
Yeshiva Sholom Shachna,Brooklyn,NY,11230,17760
Elmezzi Graduate School of Molecular Medicine,Manhasset,NY,11030-3816,NULL
GDS Institute,South Gate,CA,90280-2072,NULL
Professional Academy of Cosmetology,Norristown,PA,19401-0000,NULL
Saint Gregory The Great Seminary,Seward,NE,68434-8145,NULL
Theatre of Arts,Hollywood,CA,90028-6111,34314
Westchester College of Nursing & Allied Health,Los Angeles,CA,90045-3647,NULL
Treasure Coast Technical College,Vero Beach,FL,32967-3527,NULL
American College of Barbering,Louisville,KY,40229-2862,NULL
Beth Medrash Meor Yitzchok,Monsey,NY,10952-4023,25574
Mingo Extended Learning Center,Delbarton,WV,25670-9797,NULL
San Ignacio University,Doral,FL,33178-2350,19017
ZMS The Academy,Los Angeles,CA,90042-4231,NULL
Valor Christian College,Canal Winchester,OH,43110,14249
Bethany Global University,Bloomington,MN,55438-2849,22570
Bella Academy of Cosmetology,Oshkosh,WI,54901-4738,NULL
Princess Beauty School,Dearborn Heights,MI,48127-2999,NULL
HVAC Technical Institute,Chicago,IL,60632-4457,NULL
Unilatina International College,Miramar,FL,33025-3943,NULL
San Francisco Film School,San Francisco,CA,94104-2835,NULL
Center for Ultrasound Research & Education,White Plains,NY,10604,NULL
Culinary Tech Center,New York,NY,10001-2320,NULL
Randolph Technical Center,Elkins,WV,26241-9527,NULL
AMG School of Licensed Practical Nursing,Brooklyn,NY,11201-1728,NULL
Saint Michael College of Allied Health,Alexandria,VA,22309-2348,22500
Presidio Graduate School,San Francisco,CA,94129-1749,NULL
Sandra Academy of Salon Services Inc,New Tazewell,TN,37825-7239,NULL
Wright Graduate University for the Realization of Human Potential,Elkhorn,WI,53121-2556,NULL
California Jazz Conservatory,Berkeley,CA,94704-1268,35301
California Barber and Beauty College,San Diego,CA,92115-4730,NULL
Laredo CHI Academy Beauty School,Laredo,TX,78041-6540,NULL
Florida International Training Institute,Miami,FL,33122-1707,NULL
The Training Domain,Fort Myers,FL,33907-4080,NULL
Gould's Academy,Memphis,TN,38119-5317,NULL
Aviation Institute of Maintenance,Freemont,CA,94539,26142
Paul Mitchell the School-Tulsa,Tulsa,OK,74134-1410,NULL
PPG Technical College,Caguas,PR,00726-3164,10548
Wave Leadership College,Virginia Beach,VA,23454-2140,13838
Academy of Professional Cosmetology,Rogers,AR,72756-2028,NULL
Empire Beauty School-Northlake,Atlanta,GA,30345-3762,NULL
Ross Medical Education Center-Huntsville,Huntsville,AL,35806-2509,NULL
Ross Medical Education Center-Knoxville,Knoxville,TN,37922-2367,NULL
Jolie Health & Beauty Academy-Cherry Hill,Cherry Hill,NJ,8003,NULL
Ross Medical Education Center-Muncie,Muncie,IN,47303-6413,NULL
Cortiva Institute-Arlington,Arlington,TX,76017-5818,NULL
Tulsa Welding School-Houston,Houston,TX,77060-2100,NULL
Pima Medical Institute-El Paso,El Paso,TX,79915-1525,NULL
Pima Medical Institute-Phoenix,Phoenix,AZ,85029-4929,NULL
Kennesaw State University,Kennesaw,GA,30144,23919
Wisconsin Academy a Paul Mitchell Partner Group-PMTS Lincoln,Lincoln,NE,68516-2306,NULL
All Beauty College,Lake Havasu City,AZ,86403-2974,NULL
Eastern Suffolk BOCES,Riverhead,NY,11901-2763,NULL
Eastern Suffolk BOCES,Oakdale,NY,11769-1650,NULL
Milligan College,Milligan College,TN,37682,40482
Chamberlain University-Nevada,Las Vegas,NV,89144-6595,32008
Chamberlain University-Michigan,Troy,MI,48084-5286,25746
Chamberlain University-New Jersey,North Brunswick,NJ,08902-3492,38270
Hussian College-Relativity Campus California,Los Angeles,CA,90017-2019,58850
Paul Mitchell the School-Madison,Madison,WI,53717,NULL
The University of Tennessee Health Science Center,Memphis,TN,38163,NULL
Unitech Training Academy-Metairie,Metairie,LA,70003-0000,NULL
Wade Gordon Hairdressing Academy-Lubbock,Lubbock,TX,79423-2125,NULL
Protege Academy,Mt. Pleasant,MI,48858-2058,NULL
Emory University-Oxford College,Oxford,GA,30054,58900
American Academy of Personal Training-Boston Campus,Boston,MA,02116-3631,NULL
The Chicago School of Professional Psychology at Xavier University of Louisiana,New Orleans,LA,70125-1056,NULL
Southern Regional Technical College,Thomasville,GA,31792,8773
Texas College of Cosmetology-Lubbock,Lubbock,TX,79414-2532,NULL
University of Arizona-South,Sierra Vista,AZ,85635,NULL
Fortis College-Cuyahoga Falls,Cuyahoga Falls,OH,44221,29208
Sunstate Academy-Jones Technical Institute,Jacksonville,FL,32256-0367,29803
Texas State Technical College,Waco,TX,76705,14921
Aveda Institute Portland-Vancouver Campus,Vancouver,WA,98661-7264,NULL
Arizona College-Las Vegas,Las Vegas,NV,89102-4512,32090
Florida Career College,Pembroke Pines,FL,33024-6916,31209
Florida Career College-West Palm Beach,West Palm Beach,FL,33417-4326,NULL
Florida Career College-Hialeah,Hialeah,FL,33012-7028,NULL
Florida Career College-Lauderdale Lakes,Lauderdale Lakes,FL,33319-5617,30629
Florida Career College-Tampa,Tampa,FL,33619-8347,NULL
Florida Career College-Jacksonville,Jacksonville,FL,32244-6663,32699
Florida Career College-Boynton Beach,Boynton Beach,FL,33426-8205,30642
Florida Career College-Margate,Margate,FL,33063-7011,NULL
Florida Career College-Orlando,Orlando,FL,32807-3528,NULL
Florida Career College-UEI College-Phoenix,Phoenix,AZ,85021-2718,NULL
Florida Career College-Houston Campus,Houston,TX,77090-1111,NULL
Aveda Institute-Madison,Madison,WI,53715-0000,NULL
Husson University,Bangor,ME,04401-2929,28889
Tricoci University of Beauty Culture-Elgin,Elgin,IL,60123-9412,NULL
Concorde Career College-Southaven,Southaven,MS,38671,NULL
Universal Technical Institute-Southern California,Long Beach,CA,90808-1789,NULL
Northwest University-College of Adult and Professional Studies,Kirkland,WA,98033,22688
Celebrity Barber School,Monroe,LA,71201-5133,NULL
California Institute of Advanced Management,Alhambra,CA,91803,NULL
Academy of Interactive Entertainment,Lafayette,LA,70506-4293,30571
The Temple Annapolis-A Paul Mitchell Partner School,Annapolis,MD,21401-3833,NULL
Yeshiva Zichron Aryeh,Far Rockaway,NY,11691-0000,NULL
Butte County Regional Occupational Program,Chico,CA,95928-7191,NULL
BCI,Brookline,MA,02445-0000,NULL
Arclabs,Piedmont,SC,29673-6729,NULL
Top of the Line Barber College,Charleston,SC,29407-2228,NULL
Midfield Institute of Cosmetology,Midfield,AL,35228-2233,NULL
Med-Life Institute-Naples,Naples,FL,34113-4131,NULL
Med-Life Institute-Lauderdale Lakes,Lauderdale Lakes,FL,33319-4825,NULL
American Institute of Alternative Medicine,East Brunswick,NJ,8816,NULL
Felbry College School of Nursing,Columbus,OH,43231-2256,NULL
Beyond The Basics School of Cosmetology,Marshfield,MO,65706-0003,NULL
Regional Center for Border Health,Somerton,AZ,85350,NULL
B-Unique Beauty and Barber Academy,Greenville,SC,29607-2314,NULL
Kentucky Horseshoeing School,Richmond,KY,40475-1810,NULL
Tri-State Barber College,Ashland,KY,41101-7746,NULL
Image Maker Beauty Institute,Hendersonville,TN,37075-4488,NULL
Dalton Institute of Esthetics and Cosmetology,Dalton,GA,30720-8402,NULL
CAAN Academy of Nursing,Matteson,IL,60443-3821,NULL
Martinsburg College,Martinsburg,WV,25404-6204,NULL
Alhambra Medical University,Alhambra,CA,91803,NULL
Central Yeshiva Beth Joseph,Brooklyn,NY,11230-6043,NULL
Garden State Science and Technology Institute,Jersey City,NJ,07306-2714,NULL
Barber Tech Academy,Orangeburg,SC,29115-6069,NULL
Abraham Lincoln University,Glendale,CA,91210,NULL
Construction Training Center,Columbia,SC,29209,NULL
Med Academy,Hialeah,FL,33018-4937,NULL
Huntington University of Health Sciences,Knoxville,TN,37918-8230,17896
Sonoran Desert Institute,Scottsdale,AZ,85258-3376,17883
Northwest Suburban College,Rollng Meadows,IL,60008-4504,NULL
Yeshivas Maharit D'Satmar,Monroe,NY,10950,18500
Natural Images Beauty College,Clute,TX,77531-3603,NULL
Textures Institute of Cosmetology,Indianapolis,IN,46268-3635,NULL
Learning Bridge Career Institute,Houma,LA,70360-2816,NULL
PiBerry Institute,Homestead,FL,33033-3215,NULL
DMost Beauty & Body Institute,Lithia  Springs,GA,30122-2954,NULL
Academy of Cosmetology and Esthetics,Nevada,MO,64772-2805,NULL
Ea La Mar's Cosmetology & Barber College,Kansas City,MO,64127-1912,NULL
Regina Webb Academy,Bowling Green,KY,42104-4457,NULL
DeHart Technical School,Modesto,CA,95356-9292,NULL
Medical Career & Technical College,Richmond,KY,40475-2614,NULL
Center for Neurosomatic Studies,Clearwater,FL,33760-3712,NULL
Lebanon College of Cosmetology,Lebanon,MO,65536-3800,NULL
Focus Personal Training Institute,New York,NY,10001-6217,NULL
Hair Academy School of Barbering & Beauty,Newark,DE,19713-2305,NULL
Fosbre Academy of Hair Design,Olympia,WA,98501-1018,NULL
National Personal Training Institute,Winter Park,FL,32789-7101,NULL
Mission Beauty Institute,Mission,TX,78572-4404,NULL
Elim Bible Institute and College,Lima,NY,14485-9704,14268
Beth Medrash of Asbury Park,Lakewood,NJ,08701-5842,16300
Hope College of Arts and Sciences,Pompano Beach,FL,33069-3240,NULL
Ferrara's Beauty School,Forest Hills,NY,11375-9601,NULL
Yeshiva Gedolah Shaarei Shmuel,Lakewood,NJ,08701-3623,14010
Premier Barber Institute,Norristown,PA,19401-5163,NULL
International Beauty Education Center,Airway Heights,WA,99001-0000,NULL
Claremont Lincoln University,Claremont,CA,91711-4744,NULL
Ultimate Touch Barber College,Richton Park,IL,60471-1404,NULL
Hoss Lee Academy,Roseville,CA,95661-5233,NULL
Indiana Massage College,Indianapolis,IN,46290,NULL
Kenny's Academy of Barbering,Indianapolis,IN,46222-2327,NULL
Seattle Film Institute,Seattle,WA,98119-1707,44700
Arkansas Colleges of Health Education,Fort Smith,AR,72916-0366,NULL
Indiana Wesleyan University-National & Global,Marion,IN,46953,27850
Northeast Lakeview College,Universal City,TX,78145,NULL
Radiological Technologies University VT,South Bend,IN,46601-2352,NULL
U.S. Truck Driver Training School,Sterling Heights,MI,48312-4518,NULL
South Dade Technical College-South Dade Skills Center Campus,Leisure City,FL,33033-1412,NULL
Wongu University of Oriental Medicine,Las Vegas,NV,89123-2836,NULL
Alabama School of Nail Technology & Cosmetology,Jackson,AL,36545-2718,NULL
International Diving Institute,North Charleston,SC,29405-2206,NULL
Tulsa Technology Center,Tulsa,OK,74145,NULL
Ross Medical Education Center-Elyria,Elyria,OH,44035-2885,NULL
Ross Medical Education Center-Lafayette,Lafayette,IN,47905-5159,NULL
Ross Medical Education Center-Midland,Midland,MI,48640-2690,NULL
Paul Mitchell the School-Webster,Webster,TX,77598-0000,NULL
Paul Mitchell the School-Nampa,Nampa,ID,83687-0000,NULL
Lil Lou's Beauty and Barber College-Portage,Portage,IN,46368-4740,NULL
National American University-Westwood Teach-Out Site,Aurora,CO,80011-8754,NULL
House of Heavilin Beauty College-Academy of Beauty Professionals,Madison,WI,53719-1111,NULL
House of Heavilin Beauty College-Academy of Beauty Professionals,Appleton,WI,54914-5780,NULL
House of Heavilin Beauty College-Academy of Beauty Professionals,Green Bay,WI,54303-4838,NULL
Kenneth Shuler School of Cosmetology-Goose Creek,Goose Creek,SC,29445-6694,NULL
Clovis Community College,Fresno,CA,93730,8411
Boca Beauty Academy-Parkland,Parkland,FL,33073-4526,NULL
American Beauty Academy-West Valley Campus,West Valley City,UT,84119,NULL
Caribbean Aviation Training Institute Inc,Carolina,PR,979,NULL
The College of Health Care Professions-McAllen Campus,McAllen,TX,78504-4398,NULL
Chamberlain University-North Carolina,Charlotte,NC,28273,25746
Chamberlain University-California,Rancho Cordova,CA,95670,NULL
Spartan College of Aeronautics and Technology,Riverside,CA,92509-8716,NULL
Harris School of Business-Danbury,Danbury,CT,06810-7857,NULL
Institute of Beauty Occupations and Technology Course-San Sebastian,San Sebastian,PR,00685-9998,12549
Milan Institute-Bakersfield West,Bakersfield,CA,93308-9301,NULL
Purdue University Global-Indianapolis,Indianapolis,IN,46240-0000,NULL
Purdue University Global-Milwaukee,Milwaukee,WI,53203-2303,NULL
Pima Medical Institute-Dillon,Dillon,MT,59725-3581,NULL
Med-Life Institute-Kissimmee,Kissimmee,FL,34746,NULL
Arthur's Beauty College-Jonesboro,Jonesboro,AR,72401,NULL
West Coast University-Center for Graduate Studies,Los Angeles,CA,90004,NULL
Palm Beach Academy of Health & Beauty-Distinct Health Educational Center,Lauderhill,FL,33319-6243,NULL
Piedmont International University,Winston-Salem,NC,27101,19145
National Personal Training Institute-Tampa,Tampa,FL,33634,NULL
Presbyterian Theological Seminary in America,Santa Fe Springs,CA,90670-5647,13760
Health Career Institute,West Palm Beach,FL,33409-5189,27608
Southern States University,San Diego,CA,92110,NULL
Great Lakes Truck Driving School,Columbia Station,OH,44028-9074,NULL
America Evangelical University,Los Angeles,CA,90006-5860,10334
Gadsden Technical Institute,Quincy,FL,32351-4415,NULL
Virginia University of Integrative Medicine,Fairfax,VA,22031-5310,NULL
Nashville Film Institute,Nashville,TN,37210-4225,NULL
Los Angeles Academy of Figurative Art,Van Nuys,CA,91406-2127,NULL
Westcliff University,Irvine,CA,92606,NULL
World Class Academy of Beauty Careers,Tallahassee,FL,32310-6831,NULL
Allied Health Careers Institute,Murfreesboro,TN,37130-5996,NULL
Sacramento Ultrasound Institute,Sacramento,CA,95825-0570,NULL
Medical Prep Institute of Tampa Bay,Tampa,FL,33612-8408,NULL
Elite Institute of Cosmetology,Portsmouth,OH,45662-4009,NULL
Regan Career Institute,El Monte,CA,91731-3254,NULL
Bolivar Technical College,Bolivar,MO,65613-8095,26089
Baldy View Regional Occupational Program,Ontario,CA,91764-5500,NULL
MAK Beauty Institute,Cumming,GA,30040-2783,NULL
Reformed University,Lawrenceville,GA,30043-5604,NULL
Mobile Technical Training,South Hackensack,NJ,07606-0000,NULL
American Barber Academy,Reading,PA,19611-2040,NULL
Master's Barber & Styling College,Old Hickory,TN,37138-4676,NULL
Yeshiva Shaar Ephraim,Monsey,NY,10952-2732,20368
California Institute of Arts & Technology,San Diego,CA,92108-3822,NULL
Elite Cosmetology Barber & Spa Academy,Yakima,WA,98902-5105,NULL
Cutting Edge Academy,Succasunna,NJ,07876-1311,NULL
Yeshiva Bais Aharon,Lakewood,NJ,08701-2053,13270
Mechon L'hoyroa,Monsey,NY,10952-2710,NULL
My Beauty & Barber College,Sacramento,CA,95823-4687,NULL
Elyon College,Brooklyn,NY,11204-4801,NULL
Georgie International Beauty Institute,Cuyahoga Falls,OH,44223-1328,NULL
C. Alexander School of Cosmetology,Little Rock,AR,72204-6001,NULL
Western Michigan University Homer Stryker M.D. School of Medicine,Kalamazoo,MI,49007,NULL
Harmony Health Care Institute,Merrimack,NH,03054-0000,NULL
American Beauty Schools,Miami,FL,33144-0000,NULL
Hogan Institute of Cosmetology and Esthetics,Lilburn,GA,30047-3717,NULL
J's Barber College,New Iberia,LA,70560-6138,NULL
Ann Webb Skin Institute,Austin,TX,78759-3936,NULL
Apex Academy Hair Skin Nails School of Cosmetology,Ontario,OH,44906-1793,NULL
The Esthetic Institute,Vienna,VA,22182-3818,NULL
Kor Beauty Academy,Peoria,AZ,85382-4958,NULL
EduMed Partners,Goodlettsville,TN,37072-2329,NULL
Massage Institute of Memphis,Memphis,TN,38104-4138,NULL
Digital Media Institute at InterTech,Shreveport,LA,71103-3600,NULL
Yeshiva Ohr Naftoli,New Windsor,NY,12553-8006,16580
Bais Medrash Mayan Hatorah,Lakewood,NJ,8701,18750
Allgood Beauty Institute,Frisco,TX,75033-4112,NULL
Gwinnett Institute,Orlando,FL,32826-9998,NULL
Career Quest Learning Center-Mt. Pleasant,Mount Pleasant,MI,48858-4427,NULL
Kansas City University of Medicine and Biosciences-Joplin,Joplin,MO,64804-1598,NULL
Manuel and Theresa's School of Hair Design,Brenham,TX,77833-3033,NULL
L Makeup Institute,Las Vegas,NV,89145,NULL
Peloton College,Arlington,TX,76011-9998,39209
Purdue University Global-St. Louis,St. Louis,MO,63146-4021,NULL
Purdue University Northwest,Hammond,IN,46323,0
Ross Medical Education Center - Kalamazoo,Kalamazoo,MI,49009-1003,NULL
Ross College-Canton,Canton,OH,44718-3674,NULL
